datetime,wind_speed,wind_direction,pressure,humidity,temperature,weather_description
10/1/2012 12:00,,,,,,
10/1/2012 13:00,3,110,1006,94,294.03,light rain
10/1/2012 14:00,3,110,1006,94,294.0353414,overcast clouds
10/1/2012 15:00,3,111,1006,94,294.0497022,overcast clouds
10/1/2012 16:00,3,111,1006,94,294.064063,overcast clouds
10/1/2012 17:00,3,112,1006,94,294.0784237,overcast clouds
10/1/2012 18:00,3,113,1006,94,294.0927845,overcast clouds
10/1/2012 19:00,3,114,1006,94,294.1071453,overcast clouds
10/1/2012 20:00,3,115,1006,94,294.1215061,overcast clouds
10/1/2012 21:00,3,116,1006,94,294.1358668,overcast clouds
10/1/2012 22:00,3,116,1006,94,294.1502276,overcast clouds
10/1/2012 23:00,3,117,1006,94,294.1645884,overcast clouds
10/2/2012 0:00,3,118,1006,94,294.1789492,overcast clouds
10/2/2012 1:00,3,119,1006,94,294.1933099,overcast clouds
10/2/2012 2:00,3,120,1006,94,294.2076707,overcast clouds
10/2/2012 3:00,3,120,1006,94,294.2220315,overcast clouds
10/2/2012 4:00,3,121,1006,94,294.2363923,overcast clouds
10/2/2012 5:00,3,122,1006,94,294.250753,overcast clouds
10/2/2012 6:00,3,123,1006,94,294.2651138,overcast clouds
10/2/2012 7:00,3,124,1006,94,294.2794746,overcast clouds
10/2/2012 8:00,3,125,1006,94,294.2938354,overcast clouds
10/2/2012 9:00,3,125,1006,94,294.3081961,overcast clouds
10/2/2012 10:00,4,126,1006,94,294.3225569,overcast clouds
10/2/2012 11:00,4,127,1006,94,294.3369177,overcast clouds
10/2/2012 12:00,4,128,1006,94,294.3512785,overcast clouds
10/2/2012 13:00,4,129,1006,94,294.3656392,overcast clouds
10/2/2012 14:00,4,130,1006,94,294.38,heavy intensity rain
10/2/2012 15:00,4,140,1006,94,295.01,light rain
10/2/2012 16:00,6,150,1005,100,295.04,moderate rain
10/2/2012 17:00,8,150,1006,88,295.26,mist
10/2/2012 18:00,2,190,1005,94,295.14,heavy intensity rain
10/2/2012 19:00,3,170,1005,94,295.46,heavy intensity rain
10/2/2012 20:00,3,160,1005,94,295.77,moderate rain
10/2/2012 21:00,4,170,1004,100,296.28,overcast clouds
10/2/2012 22:00,2,150,1004,94,295.97,moderate rain
10/2/2012 23:00,3,170,1004,94,295.41,light intensity drizzle
10/3/2012 0:00,3,170,1004,94,295.36,mist
10/3/2012 1:00,3,170,1005,88,295.51,mist
10/3/2012 2:00,2,170,1005,94,295.16,moderate rain
